i,var,h_i
0,R_s_b0,-1545.711210405128
1,R_s_b1,-3113.8463670734973
2,R_s_b2,-6317.388519199959
3,L_b0,4.719296454698409
4,L_b1,7.924815485582773
5,L_b2,9.79452127590936
6,R_ct_b0,-30063.765156911362
7,R_ct_b1,-61104.31140412349
8,R_ct_b2,-126115.74716944993
9,Q_1_b0,-706.8651683214762
10,Q_1_b1,-1587.580757547701
11,Q_1_b2,-3870.563198714395
12,α_1_b0,-922.2195922100815
13,α_1_b1,-1917.3907344863223
14,α_1_b2,-4126.587669237286
15,Q_2_b0,407432.88254487
16,Q_2_b1,721709.8624491867
17,Q_2_b2,1070796.1143361607
18,α_2_b0,111972.67210968753
19,α_2_b1,215888.63363509043
20,α_2_b2,399550.42493304214
