qubit_index,var,parameter,bit,u_weight
0,R_s_b0,R_s,0,0.14285714285714285
1,R_s_b1,R_s,1,0.2857142857142857
2,R_s_b2,R_s,2,0.5714285714285714
3,L_b0,L,0,0.14285714285714285
4,L_b1,L,1,0.2857142857142857
5,L_b2,L,2,0.5714285714285714
6,R_ct_b0,R_ct,0,0.14285714285714285
7,R_ct_b1,R_ct,1,0.2857142857142857
8,R_ct_b2,R_ct,2,0.5714285714285714
9,Q_1_b0,Q_1,0,0.14285714285714285
10,Q_1_b1,Q_1,1,0.2857142857142857
11,Q_1_b2,Q_1,2,0.5714285714285714
12,α_1_b0,α_1,0,0.14285714285714285
13,α_1_b1,α_1,1,0.2857142857142857
14,α_1_b2,α_1,2,0.5714285714285714
15,Q_2_b0,Q_2,0,0.14285714285714285
16,Q_2_b1,Q_2,1,0.2857142857142857
17,Q_2_b2,Q_2,2,0.5714285714285714
18,α_2_b0,α_2,0,0.14285714285714285
19,α_2_b1,α_2,1,0.2857142857142857
20,α_2_b2,α_2,2,0.5714285714285714
