beta,gamma,Expected_H
0.0,0.0,9.307404184255574e-06
0.0,0.7853981852531433,2.1130240725142357e-05
0.0,1.5707963705062866,6.643437131970131e-06
0.0,2.356194496154785,-3.977095502705197e-06
0.0,3.1415927410125732,-7.867931799410144e-07
0.39269909262657166,0.0,9.307404184255574e-06
0.39269909262657166,0.7853981852531433,6.748875014929467
0.39269909262657166,1.5707963705062866,-4.639547801243907
0.39269909262657166,2.356194496154785,-3.001969097176584
0.39269909262657166,3.1415927410125732,-4.515522281064477
0.7853981852531433,0.0,9.307404184255574e-06
0.7853981852531433,0.7853981852531433,24.049523037420954
0.7853981852531433,1.5707963705062866,-2.1420076165885575
0.7853981852531433,2.356194496154785,-5.707252230745439
0.7853981852531433,3.1415927410125732,-14.321585680316389
1.1780972480773926,0.0,9.307404184255574e-06
1.1780972480773926,0.7853981852531433,26.50330016467501
1.1780972480773926,1.5707963705062866,7.8247995206645555
1.1780972480773926,2.356194496154785,-5.921133212117979
1.1780972480773926,3.1415927410125732,-11.687609752664684
1.5707963705062866,0.0,9.307404184255574e-06
1.5707963705062866,0.7853981852531433,-8.33311719361518e-06
1.5707963705062866,1.5707963705062866,-9.307810842074105e-07
1.5707963705062866,2.356194496154785,2.5020723342095152e-05
1.5707963705062866,3.1415927410125732,2.2734654521627817e-05
